NgayGio,DoAm,GioGiat,HuongGio,TocDoGio,LuongMua,NhietDo,ThoiTiet
10/6/2021 13:00,70,6,WNW,2,2,27,2302
10/6/2021 14:00,78,11,WSW,6,0,28,2302
10/6/2021 15:00,87,12,WSW,6,0,28,2302
10/6/2021 16:00,88,10,W,4,0,26,1002
10/6/2021 17:00,87,10,W,5,0,26,1002
10/6/2021 18:00,87,10,W,4,0,26,2002
10/6/2021 19:00,85,10,W,5,0,26,1002
10/6/2021 20:00,88,11,W,9,1,28,2302
10/6/2021 21:00,88,10,W,5,0,27,2302
10/6/2021 22:00,85,11,W,6,0,27,1002
10/6/2021 23:00,70,9,W,4,0,26,1002
10/7/2021 0:00,78,9,WSW,6,1,30,2302
10/7/2021 1:00,87,10,W,8,0,32,2002
10/7/2021 2:00,88,8,WSW,5,1,29,2302
10/7/2021 3:00,87,8,WSW,5,1,30,2302
10/7/2021 4:00,87,10,W,6,0,29,2302
10/7/2021 5:00,85,8,WSW,6,1,30,2302
10/7/2021 6:00,88,10,WSW,6,0,30,2302
10/7/2021 7:00,88,10,WSW,4,0,27,1002
10/7/2021 8:00,85,10,W,4,0,27,1002
10/7/2021 9:00,70,10,W,4,0,26,1002
10/7/2021 10:00,78,10,W,4,0,26,1002
10/7/2021 11:00,87,11,W,5,0,26,2002
10/7/2021 12:00,88,10,W,4,0,27,1002
10/7/2021 13:00,87,10,W,4,0,26,1002
10/7/2021 14:00,87,10,WSW,4,0,26,1002
10/7/2021 15:00,85,10,W,4,0,26,2002
